Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,normalized_dti,normalized_emi,normalized_delinquency,normalized_credit_history,normalized_savings,normalized_utilization,normalized_utilization_risk,normalized_inquiry_intensity,normalized_investment_ratio,normalized_loan_burden_index,behavioral_risk_indicator,credit_mix_quality,normalized_savings_capacity_ratio,population_density_factor,Default_Flag,Borrower_Tier,Debt_Stress_Index,Repayment_Stress,Credit_Exposure,Liquidity_Buffer,Behavioral_Risk_Composite,Credit_Instability,Payment_Instability,Net_Cash_Flow,Obligation_Ratio,Credit_Depth
2.939574177844301,7.544744300094587,2,4,6,1,1.9934164919438022,1,5.42,5,Good,25.080774774706164,25.92682170377555,273,No,4.203180848126449,5.051534724373276,High_spent_Large_value_payments,4.253631095295606,0.0174,0.006192,0.5,1.0,0.159691,1.0,1.0,1.0,0.013058,1.0,0,2,0.980744,0.96,0,Prime,0.015525647847814152,0.0029728035734144986,22.97248534228483,0.10152941696127737,0.0,5.328438488389542,1.8191754621591707,7.804451527879872,0.005677583250752711,5
2.939574177844301,7.544744300094587,2,4,6,1,1.9934164919438022,3,5.42,5,Good,25.080774774706164,30.11660045002501,274,No,4.203180848126449,8.877422955930694,Low_spent_Large_value_payments,4.037116849801522,0.0174,0.006192,1.0,1.0,0.099821,1.0,1.0,1.0,0.0828,1.0,0,2,0.910979,1.04,1,Prime,0.015525647847814152,0.005712656908705099,25.14949708929468,0.07190735819948156,0.0,5.328438488389542,3.6607255010420303,7.804451527879872,0.005677583250752711,5
2.9354317801779612,7.41124441088774,2,5,4,1,2.8862915662398954,6,1.99,4,Good,25.5280012873381,36.82446782218685,181,No,3.959593024831389,8.239693510782606,Low_spent_Medium_value_payments,4.081038328861911,0.0206,0.006281,1.0,1.0,0.127396,1.0,1.0,0.666667,0.073421,1.0,0,2,0.920267,0.96,0,Near_Prime,0.018010855875007285,0.005788167157252507,32.429264135866404,0.08670305316867861,0.0,2.96231663492877,7.010214847523239,7.66124262270187,0.00575251138890033,6
3.016430718051511,7.41124441088774,2,5,4,1,3.275693548007369,6,1.99,7,Good,25.5280012873381,35.5792649548332,182,No,3.959593024831389,8.703089555596573,Low_spent_Small_value_payments,4.033258264363484,0.0002,0.006281,1.0,1.0,0.115133,1.0,1.0,1.0,0.08951,1.0,0,2,0.904172,0.96,1,Near_Prime,0.00019973155428297602,0.005788167157252507,31.77108470170802,0.08037694127547497,0.0,3.9324184069800814,7.675085026383752,7.66124262270187,0.00575251138890033,6
2.9361596537585983,7.480546005957068,1,6,12,2,1.4603611840556037,3,5.76,5,Good,21.6885306463015,33.85409635172327,272,No,6.050295084353826,7.005111582758183,High_spent_Medium_value_payments,4.138243572739383,0.0134,0.016494,1.0,1.0,0.133211,1.0,1.0,0.714286,0.038716,1.0,0,2,0.94477,0.96,0,Prime,0.0122677095303778,0.013382339901872608,34.381206335624576,0.08448275519960781,0.0,5.470225191412699,2.867734175882257,7.725713782501855,0.013177552535190217,8
2.95279534283279,7.941481322029505,6,4,14,3,4.605007857109598,8,5.54,7,Standard,15.230344680608328,33.50246118473791,276,Yes,8.543736885237552,9.540743792126289,Low_spent_Large_value_payments,4.020144717711259,0.0033,0.026091,1.0,1.0,0.061397,1.0,1.0,1.0,0.069122,1.0,1,1,0.904767,1.04,1,Prime,0.0032279922779508505,0.018895278846899847,26.815361826937746,0.03180934773120476,1.0,6.20011308745631,11.213834291180591,8.211781990565177,0.01846147262847165,7
2.95279534283279,7.941481322029505,6,4,14,3,4.605007857109598,10,5.54,7,Standard,15.230344680608328,34.02279546061346,277,Yes,8.543736885237552,7.614592702020493,Low_spent_Medium_value_payments,4.255145789518085,0.0033,0.026091,1.0,1.0,0.102135,1.0,1.0,1.0,0.030482,1.0,1,1,0.943415,0.96,0,Prime,0.0032279922779508505,0.018895278846899847,27.064844962152222,0.06118695455811015,1.0,6.20011308745631,12.413437776073497,8.211781990565177,0.01846147262847165,7
2.883425945816995,5.962883653699418,6,5,32,7,7.731933436968239,10,8.86,9,Standard,44.28985921925012,25.380714318086728,98,Yes,5.514577293515846,4.959169865779588,Low_spent_Small_value_payments,3.9773324163874375,0.2991,0.070268,1.0,0.816667,0.514715,1.0,1.0,1.0,0.072379,1.0,1,1,0.857079,1.08,1,Prime,0.07731101366645626,0.03232439229631356,25.950768462941202,0.16637790722129267,1.0,8.240551890705142,17.909972419820612,6.056582844197322,0.03076729554404454,12
2.929136926069283,7.341893411445291,8,7,14,5,6.200003881791219,15,1.83,7,Standard,27.436727572968497,38.485249511178864,191,Yes,7.975990118300324,7.549026959836488,Low_spent_Medium_value_payments,3.9975389004185917,0.0297,0.041926,1.0,1.0,0.115525,1.0,1.0,0.875,0.058361,1.0,1,1,0.899672,1.04,0,Prime,0.024532945450113912,0.025482552046108383,40.64184848497545,0.05961061243823525,1.0,3.775743243390886,18.240191256239328,7.5522662523483675,0.024622908333832703,12
2.9368074399218176,7.516409136358679,6,6,7,2,3.977944277315399,14,6.28,1,Standard,28.271702141863027,27.64032332825704,179,Yes,5.977741135513368,6.51082353324341,Low_spent_Large_value_payments,4.20230987492816,0.0256,0.015338,1.0,1.0,0.147135,1.0,1.0,0.142857,0.029232,1.0,1,1,0.955415,1.04,1,Near_Prime,0.02169047035445002,0.0126208420127918,30.46797096088153,0.09188058588824709,1.0,2.6034504289208313,13.062999021419657,7.7652872971521925,0.01243988556441087,8
2.8911500386319173,6.619165889527138,7,5,17,5,11.870658173779757,21,7.97,8,Bad,37.369421908624616,33.72430069146658,110,Yes,5.574788016525685,6.017274092044839,Low_spent_Small_value_payments,4.020411397481516,0.1642,0.034947,1.0,0.916667,0.272305,1.0,1.0,1.0,0.062277,1.0,1,0,0.902686,1.08,1,Near_Prime,0.06827512358280402,0.022904249146561466,30.771962655828506,0.13009071667563216,1.0,7.563816427892393,33.1368715735859,6.787969258668285,0.022234221963794206,10
2.921594708242058,7.173830204229054,8,6,14,3,7.528399384119346,14,1.13,3,Standard,25.238251676488076,38.95299631544785,186,No,5.828598866869029,5.44860109064911,High_spent_Medium_value_payments,4.115181469819148,0.0296,0.021108,1.0,1.0,0.179075,1.0,1.0,0.428571,0.024748,1.0,0,1,0.954121,1.0,0,Near_Prime,0.0244654130269852,0.0162038440766529,37.36598444338898,0.10338182057758426,0.0,1.806743884423018,20.286376310472804,7.392882449605626,0.01589434183042346,9
2.921594708242058,7.173830204229054,8,6,14,3,7.528399384119346,15,1.13,3,Standard,25.238251676488076,26.54850967751556,188,No,5.828598866869029,8.934503537056646,Low_spent_Small_value_payments,3.808531376032296,0.0296,0.021108,1.0,1.0,0.09501,1.0,1.0,0.428571,0.12881,1.0,0,1,0.850008,1.08,0,Near_Prime,0.0244654130269852,0.0162038440766529,29.742744857655318,0.05980714937849,0.0,1.806743884423018,20.887179290327293,7.392882449605626,0.01589434183042346,9
2.921594708242058,7.173830204229054,8,6,14,3,7.528399384119346,14,1.13,5,Standard,25.238251676488076,35.33001552852757,189,No,5.828598866869029,6.945140737618169,Low_spent_Small_value_payments,4.092752649637579,0.0296,0.021108,1.0,1.0,0.170664,1.0,1.0,0.714286,0.053156,1.0,0,1,0.925699,1.08,0,Near_Prime,0.0244654130269852,0.0162038440766529,35.26393504349661,0.09985802616705707,0.0,2.453018044351672,20.286376310472804,7.392882449605626,0.01589434183042346,9
